payment_id,user_id,fraction_count,fraction_price,expected_amount,paid_amount,amount_match,payment_time,upload_time,time_difference,time_check,receiver_match,payment_status,ocr_confidence,utr,duplicate_utr,backend_status,fraud
PAY_1001,USER_504,250,250.0,62500.0,62500.0,YES,2026-07-16T10:18:00,2026-07-16T10:17:00,3.0,YES,YES,SUCCESS,0.9598,218196001338,NO,COMPLETED,NO
PAY_1002,USER_501,250,500.0,125000.0,125000.0,YES,2026-07-16T10:35:00,2026-07-16T10:32:00,5.0,YES,YES,SUCCESS,0.9535,637940265423,NO,COMPLETED,NO
PAY_1003,USER_504,50,100.0,5000.0,5000.0,YES,2026-07-16T10:46:00,2026-07-16T10:47:00,1.0,YES,YES,SUCCESS,0.9587,594078161849,NO,COMPLETED,NO
PAY_1004,USER_519,250,100.0,25000.0,25000.0,YES,2026-07-16T11:05:00,2026-07-16T11:02:00,5.0,YES,YES,SUCCESS,0.958,341316475255,NO,COMPLETED,NO
PAY_1005,USER_509,100,500.0,50000.0,50000.0,YES,2026-07-16T11:19:00,2026-07-16T11:19:00,4.0,YES,YES,SUCCESS,0.9588,327648350305,NO,COMPLETED,NO
PAY_1006,USER_509,10,500.0,5000.0,5000.0,YES,2026-07-16T11:32:00,2026-07-16T11:32:00,2.0,YES,YES,FAILED,0.9741,654235116155,NO,FAILED,YES
PAY_1007,USER_507,50,500.0,25000.0,27500.0,NO,2026-07-16T11:50:00,2026-07-16T11:49:00,5.0,YES,YES,SUCCESS,0.955,423884969653,NO,COMPLETED,YES
PAY_1008,USER_517,5,100.0,500.0,500.0,YES,2026-07-16T12:05:00,2026-07-16T12:02:00,5.0,YES,YES,FAILED,0.9652,495931034131,NO,FAILED,YES
PAY_1009,USER_506,100,100.0,10000.0,10000.0,YES,2026-07-16T12:17:00,2026-07-16T12:18:00,2.0,YES,YES,SUCCESS,0.9648,978480184514,NO,COMPLETED,NO
PAY_1010,USER_506,5,500.0,2500.0,2500.0,YES,2026-07-16T12:31:00,2026-07-16T12:33:00,1.0,YES,YES,FAILED,0.9592,928327648350,NO,FAILED,NO
PAY_1011,USER_517,100,100.0,10000.0,10000.0,YES,2026-07-16T12:49:00,2026-07-16T12:48:00,4.0,YES,YES,FAILED,0.9599,413953767242,NO,FAILED,NO
PAY_1012,USER_517,10,250.0,2500.0,2500.0,YES,2026-07-16T13:05:00,2026-07-16T13:03:00,5.0,YES,YES,SUCCESS,0.9671,880957015430,NO,COMPLETED,NO
PAY_1013,USER_519,5,500.0,2500.0,2500.0,YES,2026-07-16T13:17:00,2026-07-16T13:18:00,2.0,YES,YES,SUCCESS,0.9899,182278248963,NO,COMPLETED,NO
PAY_1014,USER_507,50,500.0,25000.0,25000.0,YES,2026-07-16T13:31:00,2026-07-16T13:33:00,1.0,YES,YES,SUCCESS,0.9802,787133150983,NO,COMPLETED,NO
PAY_1015,USER_508,5,500.0,2500.0,2500.0,YES,2026-07-16T13:47:00,2026-07-16T13:47:00,2.0,YES,NO,SUCCESS,0.9817,310518347382,NO,COMPLETED,YES
PAY_1016,USER_519,10,250.0,2500.0,2500.0,YES,2026-07-16T14:04:00,2026-07-16T14:02:00,4.0,YES,YES,SUCCESS,0.9653,311656670106,NO,COMPLETED,NO
PAY_1017,USER_511,10,100.0,1000.0,1000.0,YES,2026-07-16T14:18:00,2026-07-16T14:19:00,3.0,YES,YES,SUCCESS,0.9844,118367365766,YES,COMPLETED,YES
PAY_1018,USER_518,5,100.0,500.0,500.0,YES,2026-07-16T14:31:00,2026-07-16T14:34:00,1.0,YES,YES,SUCCESS,0.9773,773602606474,NO,COMPLETED,NO
PAY_1019,USER_518,10,100.0,1000.0,1000.0,YES,2026-07-16T14:48:00,2026-07-16T14:48:00,3.0,YES,YES,SUCCESS,0.9545,098050097882,NO,COMPLETED,NO
PAY_1020,USER_517,10,100.0,1000.0,1000.0,YES,2026-07-16T15:01:00,2026-07-16T15:03:00,1.0,YES,YES,SUCCESS,0.9882,361939909169,NO,COMPLETED,NO
PAY_1021,USER_517,20,100.0,2000.0,2000.0,YES,2026-07-16T15:20:00,2026-07-16T15:18:00,5.0,YES,NO,SUCCESS,0.9805,534624751079,NO,COMPLETED,YES
PAY_1022,USER_504,100,100.0,10000.0,10000.0,YES,2026-07-16T15:33:00,2026-07-16T15:32:00,3.0,YES,YES,SUCCESS,0.9837,251354278498,NO,COMPLETED,NO
PAY_1023,USER_518,250,100.0,25000.0,25000.0,YES,2026-07-16T15:47:00,2026-07-16T15:47:00,2.0,YES,YES,FAILED,0.9596,528809570154,NO,FAILED,YES
PAY_1024,USER_509,5,500.0,2500.0,2500.0,YES,2026-07-16T16:01:00,2026-07-16T16:04:00,1.0,YES,YES,SUCCESS,0.9534,449353487401,NO,COMPLETED,NO
PAY_1025,USER_514,5,100.0,500.0,500.0,YES,2026-07-16T16:20:00,2026-07-16T16:17:00,5.0,YES,YES,SUCCESS,0.9806,242786801128,NO,COMPLETED,NO
PAY_1026,USER_512,50,100.0,5000.0,5000.0,YES,2026-07-16T16:35:00,2026-07-16T16:33:00,5.0,YES,YES,SUCCESS,0.9566,505331586923,NO,COMPLETED,NO
PAY_1027,USER_506,5,100.0,500.0,500.0,YES,2026-07-16T16:49:00,2026-07-16T16:49:00,4.0,YES,YES,SUCCESS,0.9886,563421607337,NO,COMPLETED,NO
PAY_1028,USER_510,10,100.0,1000.0,1000.0,YES,2026-07-17T17:00:00,2026-07-16T17:00:00,1440.0,NO,YES,SUCCESS,0.966,654145868501,NO,COMPLETED,YES
PAY_1029,USER_506,5,100.0,500.0,500.0,YES,2026-07-16T17:19:00,2026-07-16T17:18:00,4.0,YES,YES,SUCCESS,0.986,556981693406,NO,COMPLETED,NO
PAY_1030,USER_517,20,250.0,5000.0,5000.0,YES,2026-07-16T17:32:00,2026-07-16T17:32:00,2.0,YES,YES,SUCCESS,0.9526,595148465648,NO,COMPLETED,NO
PAY_1031,USER_507,250,250.0,62500.0,62500.0,YES,2026-07-16T17:47:00,2026-07-16T17:49:00,2.0,YES,YES,SUCCESS,0.9735,299468044369,NO,COMPLETED,NO
PAY_1032,USER_511,50,250.0,12500.0,12500.0,YES,2026-07-16T18:01:00,2026-07-16T18:04:00,1.0,YES,YES,SUCCESS,0.9592,872148951343,NO,COMPLETED,NO
PAY_1033,USER_505,5,100.0,500.0,500.0,YES,2026-07-16T18:16:00,2026-07-16T18:18:00,1.0,YES,YES,PENDING,0.9823,834738299737,NO,PENDING,YES
PAY_1034,USER_503,50,500.0,25000.0,25000.0,YES,2026-07-16T18:34:00,2026-07-16T18:32:00,4.0,YES,YES,SUCCESS,0.9642,676320163287,NO,COMPLETED,NO
PAY_1035,USER_518,5,250.0,1250.0,1250.0,YES,2026-07-16T18:46:00,2026-07-16T18:49:00,1.0,YES,YES,SUCCESS,0.9769,788957986872,NO,COMPLETED,NO
PAY_1036,USER_516,20,100.0,2000.0,2000.0,YES,2026-07-16T19:01:00,2026-07-16T19:02:00,1.0,YES,YES,SUCCESS,0.9791,127484677378,YES,COMPLETED,YES
PAY_1037,USER_503,10,100.0,1000.0,500.0,NO,2026-07-16T19:17:00,2026-07-16T19:17:00,2.0,YES,YES,SUCCESS,0.9576,231665876036,NO,COMPLETED,YES
PAY_1038,USER_519,100,250.0,25000.0,25000.0,YES,2026-07-16T19:32:00,2026-07-16T19:33:00,2.0,YES,YES,SUCCESS,0.9611,546688937346,NO,COMPLETED,NO
PAY_1039,USER_501,20,500.0,10000.0,10000.0,YES,2026-07-16T19:49:00,2026-07-16T19:47:00,4.0,YES,YES,SUCCESS,0.9823,627298069901,NO,COMPLETED,NO
PAY_1040,USER_514,50,100.0,5000.0,5000.0,YES,2026-07-16T20:01:00,2026-07-16T20:02:00,1.0,YES,NO,SUCCESS,0.9761,653755646417,NO,COMPLETED,YES
PAY_1041,USER_518,20,100.0,2000.0,2000.0,YES,2026-07-16T20:16:00,2026-07-16T20:17:00,1.0,YES,YES,SUCCESS,0.9871,003309232719,NO,COMPLETED,NO
PAY_1042,USER_515,20,100.0,2000.0,2000.0,YES,2026-07-16T20:34:00,2026-07-16T20:32:00,4.0,YES,NO,SUCCESS,0.9694,124190496631,NO,COMPLETED,YES
PAY_1043,USER_508,250,250.0,62500.0,62500.0,YES,2026-07-16T20:46:00,2026-07-16T20:48:00,1.0,YES,YES,FAILED,0.9619,260647468723,NO,FAILED,NO
PAY_1044,USER_504,20,500.0,10000.0,10000.0,YES,2026-07-16T21:05:00,2026-07-16T21:04:00,5.0,YES,YES,SUCCESS,0.9799,880957015430,YES,COMPLETED,YES
PAY_1045,USER_506,100,500.0,50000.0,50000.0,YES,2026-07-16T21:19:00,2026-07-16T21:19:00,4.0,YES,YES,SUCCESS,0.9701,769453147379,NO,COMPLETED,NO
PAY_1046,USER_513,5,250.0,1250.0,1250.0,YES,2026-07-16T21:31:00,2026-07-16T21:32:00,1.0,YES,YES,FAILED,0.9738,812191361939,NO,FAILED,YES
PAY_1047,USER_516,20,250.0,5000.0,5000.0,YES,2026-07-16T21:50:00,2026-07-16T21:48:00,5.0,YES,YES,SUCCESS,0.9726,948083136783,NO,COMPLETED,NO
PAY_1048,USER_516,50,100.0,5000.0,5000.0,YES,2026-07-16T22:02:00,2026-07-16T22:03:00,2.0,YES,YES,SUCCESS,0.9768,363495788568,NO,COMPLETED,NO
PAY_1049,USER_512,20,250.0,5000.0,5000.0,YES,2026-07-16T22:19:00,2026-07-16T22:18:00,4.0,YES,YES,SUCCESS,0.9552,135182337498,NO,COMPLETED,NO
PAY_1050,USER_510,10,250.0,2500.0,2500.0,YES,2026-07-16T22:33:00,2026-07-16T22:33:00,3.0,YES,YES,SUCCESS,0.9872,240824008427,NO,COMPLETED,NO
PAY_1051,USER_501,50,250.0,12500.0,12500.0,YES,2026-07-15T22:45:00,2026-07-16T22:45:00,1440.0,NO,YES,SUCCESS,0.9748,204711671902,NO,COMPLETED,YES
PAY_1052,USER_519,5,100.0,500.0,500.0,YES,2026-07-16T23:01:00,2026-07-16T23:02:00,1.0,YES,YES,SUCCESS,0.9715,699938677496,NO,COMPLETED,NO
PAY_1053,USER_519,100,500.0,50000.0,50000.0,YES,2026-07-16T23:18:00,2026-07-16T23:17:00,3.0,YES,YES,SUCCESS,0.9852,334123281206,NO,COMPLETED,NO
PAY_1054,USER_520,20,100.0,2000.0,2000.0,YES,2026-07-16T23:33:00,2026-07-16T23:33:00,3.0,YES,NO,SUCCESS,0.9563,471349361832,NO,COMPLETED,YES
PAY_1055,USER_505,5,100.0,500.0,500.0,YES,2026-07-16T23:48:00,2026-07-16T23:49:00,3.0,YES,NO,SUCCESS,0.9745,994717464887,NO,COMPLETED,YES
PAY_1056,USER_503,50,500.0,25000.0,25000.0,YES,2026-07-17T00:05:00,2026-07-17T00:04:00,5.0,YES,YES,SUCCESS,0.9767,637940265423,YES,COMPLETED,YES
PAY_1057,USER_515,10,500.0,5000.0,5000.0,YES,2026-07-17T00:16:00,2026-07-17T00:19:00,1.0,YES,YES,SUCCESS,0.9876,717565512567,NO,COMPLETED,NO
PAY_1058,USER_513,50,100.0,5000.0,5000.0,YES,2026-07-17T00:31:00,2026-07-17T00:32:00,1.0,YES,YES,SUCCESS,0.9797,516808760385,NO,COMPLETED,NO
PAY_1059,USER_516,5,100.0,500.0,500.0,YES,2026-07-17T00:50:00,2026-07-17T00:48:00,5.0,YES,YES,SUCCESS,0.9584,247710932480,NO,COMPLETED,NO
PAY_1060,USER_514,10,100.0,1000.0,1000.0,YES,2026-07-17T01:03:00,2026-07-17T01:04:00,3.0,YES,YES,SUCCESS,0.9702,127484677378,NO,COMPLETED,NO
PAY_1061,USER_513,100,500.0,50000.0,50000.0,YES,2026-07-17T01:16:00,2026-07-17T01:17:00,1.0,YES,YES,SUCCESS,0.9754,214658404499,NO,COMPLETED,NO
PAY_1062,USER_516,50,500.0,25000.0,25000.0,YES,2026-07-17T01:31:00,2026-07-17T01:32:00,1.0,YES,NO,SUCCESS,0.9633,588675339636,NO,COMPLETED,YES
PAY_1063,USER_511,250,250.0,62500.0,62500.0,YES,2026-07-17T01:47:00,2026-07-17T01:48:00,2.0,YES,YES,SUCCESS,0.9796,270289517187,NO,COMPLETED,NO
PAY_1064,USER_505,250,100.0,25000.0,25000.0,YES,2026-07-17T02:05:00,2026-07-17T02:03:00,5.0,YES,YES,SUCCESS,0.9504,459615865780,NO,COMPLETED,NO
PAY_1065,USER_503,250,500.0,125000.0,125000.0,YES,2026-07-17T02:17:00,2026-07-17T02:19:00,2.0,YES,YES,FAILED,0.986,805982620450,NO,FAILED,NO
PAY_1066,USER_503,5,500.0,2500.0,2500.0,YES,2026-07-17T02:31:00,2026-07-17T02:32:00,1.0,YES,YES,SUCCESS,0.9641,172400504556,NO,COMPLETED,NO
PAY_1067,USER_508,100,500.0,50000.0,50000.0,YES,2026-07-17T02:50:00,2026-07-17T02:48:00,5.0,YES,YES,SUCCESS,0.98,221969379237,NO,COMPLETED,NO
PAY_1068,USER_509,20,500.0,10000.0,10000.0,YES,2026-07-17T04:00:00,2026-07-17T03:00:00,60.0,NO,YES,SUCCESS,0.989,748217594647,NO,COMPLETED,YES
PAY_1069,USER_507,50,100.0,5000.0,500.0,NO,2026-07-17T03:17:00,2026-07-17T03:18:00,2.0,YES,YES,SUCCESS,0.9795,959440640909,NO,COMPLETED,YES
PAY_1070,USER_516,10,500.0,5000.0,5000.0,YES,2026-07-17T03:32:00,2026-07-17T03:33:00,2.0,YES,YES,SUCCESS,0.9607,339421047095,NO,COMPLETED,NO
PAY_1071,USER_505,20,250.0,5000.0,5500.0,NO,2026-07-17T03:46:00,2026-07-17T03:47:00,1.0,YES,YES,SUCCESS,0.9843,232858842474,NO,COMPLETED,YES
PAY_1072,USER_511,50,100.0,5000.0,5000.0,YES,2026-07-17T04:03:00,2026-07-17T04:03:00,3.0,YES,YES,SUCCESS,0.9622,368516048175,NO,COMPLETED,NO
PAY_1073,USER_509,250,250.0,62500.0,31250.0,NO,2026-07-17T04:16:00,2026-07-17T04:17:00,1.0,YES,YES,SUCCESS,0.9764,370985931746,NO,COMPLETED,YES
PAY_1074,USER_505,5,250.0,1250.0,1250.0,YES,2026-07-17T04:31:00,2026-07-17T04:33:00,1.0,YES,YES,FAILED,0.9515,458685014294,NO,PENDING,NO
PAY_1075,USER_504,100,100.0,10000.0,10000.0,YES,2026-07-17T04:48:00,2026-07-17T04:48:00,3.0,YES,YES,SUCCESS,0.9675,586926179640,NO,COMPLETED,NO
PAY_1076,USER_512,50,250.0,12500.0,12500.0,YES,2026-07-17T05:04:00,2026-07-17T05:02:00,4.0,YES,YES,PENDING,0.988,934060883561,NO,PENDING,YES
PAY_1077,USER_504,100,500.0,50000.0,50000.0,YES,2026-07-18T05:15:00,2026-07-17T05:15:00,1440.0,NO,YES,SUCCESS,0.9765,643171390053,NO,COMPLETED,YES
PAY_1078,USER_519,5,500.0,2500.0,2500.0,YES,2026-07-17T05:35:00,2026-07-17T05:33:00,5.0,YES,YES,SUCCESS,0.9624,335290422842,NO,COMPLETED,NO
PAY_1079,USER_501,5,250.0,1250.0,1250.0,YES,2026-07-17T05:48:00,2026-07-17T05:48:00,3.0,YES,YES,SUCCESS,0.9722,395024026811,NO,COMPLETED,NO
PAY_1080,USER_515,100,500.0,50000.0,50000.0,YES,2026-07-17T06:04:00,2026-07-17T06:04:00,4.0,YES,YES,SUCCESS,0.9771,839084700766,NO,COMPLETED,NO
PAY_1081,USER_504,250,250.0,62500.0,62500.0,YES,2026-07-18T06:15:00,2026-07-17T06:15:00,1440.0,NO,YES,SUCCESS,0.9662,159212499856,NO,COMPLETED,YES
PAY_1082,USER_517,50,500.0,25000.0,25000.0,YES,2026-07-17T06:33:00,2026-07-17T06:33:00,3.0,YES,NO,SUCCESS,0.9584,118367365766,NO,COMPLETED,YES
PAY_1083,USER_504,50,250.0,12500.0,11250.0,NO,2026-07-17T06:49:00,2026-07-17T06:49:00,4.0,YES,YES,SUCCESS,0.9677,527111161528,NO,COMPLETED,YES
PAY_1084,USER_519,250,100.0,25000.0,25000.0,YES,2026-07-17T07:04:00,2026-07-17T07:04:00,4.0,YES,YES,SUCCESS,0.9817,604945198327,NO,COMPLETED,NO
PAY_1085,USER_504,100,250.0,25000.0,25000.0,YES,2026-07-17T07:17:00,2026-07-17T07:19:00,2.0,YES,YES,SUCCESS,0.9534,905151864492,YES,COMPLETED,YES
PAY_1086,USER_509,20,250.0,5000.0,5000.0,YES,2026-07-17T07:35:00,2026-07-17T07:34:00,5.0,YES,YES,SUCCESS,0.9634,296120183667,NO,COMPLETED,NO
PAY_1087,USER_506,20,500.0,10000.0,9000.0,NO,2026-07-17T07:47:00,2026-07-17T07:47:00,2.0,YES,YES,SUCCESS,0.9823,991022901476,NO,COMPLETED,YES
PAY_1088,USER_520,50,250.0,12500.0,12500.0,YES,2026-07-17T08:02:00,2026-07-17T08:02:00,2.0,YES,YES,SUCCESS,0.9894,815614978403,NO,COMPLETED,NO
PAY_1089,USER_520,5,100.0,500.0,500.0,YES,2026-07-17T08:19:00,2026-07-17T08:17:00,4.0,YES,YES,SUCCESS,0.9666,324451076226,NO,COMPLETED,NO
PAY_1090,USER_508,5,250.0,1250.0,1250.0,YES,2026-07-17T08:34:00,2026-07-17T08:32:00,4.0,YES,YES,FAILED,0.9723,763201632870,NO,FAILED,YES
